country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_range,pollutant_avg_norm
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",2025-10-10 18:00:00,23.210494,77.425409,CO,8.0,57.0,19.0,49.0,0.06
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",2025-10-10 18:00:00,23.210494,77.425409,OZONE,25.0,60.0,48.0,35.0,0.15666666666666668
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",2025-10-10 18:00:00,23.233584,77.400574,NO2,26.0,71.0,40.0,45.0,0.13
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",2025-10-10 18:00:00,23.233584,77.400574,SO2,8.0,13.0,11.0,5.0,0.03333333333333333
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",2025-10-10 18:00:00,23.233584,77.400574,OZONE,20.0,118.0,99.0,98.0,0.32666666666666666
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",2025-10-10 18:00:00,12.920984,77.584908,NO2,6.0,57.0,31.0,51.0,0.1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",2025-10-10 18:00:00,12.920984,77.584908,CO,2.0,44.0,28.0,42.0,0.09
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",2025-10-10 18:00:00,12.920984,77.584908,OZONE,3.0,37.0,23.0,34.0,0.07333333333333333
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",2025-10-10 18:00:00,12.7816279,77.6299145,PM10,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",2025-10-10 18:00:00,12.7816279,77.6299145,NH3,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",2025-10-10 18:00:00,12.7816279,77.6299145,CO,27.0,28.0,28.0,1.0,0.09
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",2025-10-10 18:00:00,13.003872,77.664217,NH3,6.0,6.0,6.0,0.0,0.016666666666666666
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-10-10 18:00:00,12.951913,77.539784,NH3,1.0,2.0,1.0,1.0,0.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-10-10 18:00:00,12.951913,77.539784,CO,20.0,103.0,66.0,83.0,0.21666666666666667
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2025-10-10 18:00:00,12.9756843,77.5660749,NO2,44.0,53.0,48.0,9.0,0.15666666666666668
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2025-10-10 18:00:00,12.9756843,77.5660749,CO,59.0,62.0,60.0,3.0,0.19666666666666666
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",2025-10-10 18:00:00,12.938539,77.5901,NH3,1.0,2.0,2.0,1.0,0.0033333333333333335
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",2025-10-10 18:00:00,12.21041,76.37376,CO,4.0,42.0,10.0,38.0,0.03
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",2025-10-10 18:00:00,12.733409,77.298051,CO,18.0,25.0,22.0,7.0,0.07
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",2025-10-10 18:00:00,16.802639,75.722694,NO2,9.0,10.0,9.0,1.0,0.02666666666666667
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",2025-10-10 18:00:00,23.168606,79.932247,PM10,108.0,172.0,142.0,64.0,0.47
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",2025-10-10 18:00:00,23.168606,79.932247,OZONE,25.0,38.0,35.0,13.0,0.11333333333333333
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",2025-10-10 18:00:00,23.218135,79.95777,SO2,13.0,35.0,23.0,22.0,0.07333333333333333
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",2025-10-10 18:00:00,23.50016,80.23284,PM2.5,36.0,70.0,52.0,34.0,0.17
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",2025-10-10 18:00:00,23.50016,80.23284,PM10,85.0,166.0,136.0,81.0,0.45
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",2025-10-10 18:00:00,23.50016,80.23284,SO2,28.0,33.0,30.0,5.0,0.09666666666666666
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",2025-10-10 18:00:00,24.2613009,80.7231783,PM2.5,14.0,188.0,62.0,174.0,0.20333333333333334
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",2025-10-10 18:00:00,23.10844,77.511428,PM10,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",2025-10-10 18:00:00,22.7524,75.8872,NH3,1.0,4.0,1.0,3.0,0.0
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",2025-10-10 18:00:00,22.7524,75.8872,CO,16.0,26.0,22.0,10.0,0.07
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",2025-10-10 18:00:00,22.7524,75.8872,OZONE,7.0,11.0,9.0,4.0,0.02666666666666667
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",2025-10-10 18:00:00,22.678,75.8559,PM10,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",2025-10-10 18:00:00,22.678,75.8559,NO2,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",2025-10-10 18:00:00,22.678,75.8559,SO2,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",2025-10-10 18:00:00,22.7084,75.8815,NO2,13.0,19.0,16.0,6.0,0.05
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",2025-10-10 18:00:00,22.7084,75.8815,SO2,20.0,25.0,22.0,5.0,0.07
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",2025-10-10 18:00:00,23.142888,79.916147,PM10,106.0,149.0,129.0,43.0,0.4266666666666667
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",2025-10-10 18:00:00,23.142888,79.916147,SO2,10.0,13.0,11.0,3.0,0.03333333333333333
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2025-10-10 18:00:00,21.001264,75.565602,OZONE,9.0,60.0,37.0,51.0,0.12
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",2025-10-10 18:00:00,19.854616,75.905894,PM2.5,23.0,87.0,43.0,64.0,0.14
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",2025-10-10 18:00:00,19.854616,75.905894,NO2,36.0,50.0,43.0,14.0,0.14
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",2025-10-10 18:00:00,16.7143745,74.2426398,SO2,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",2025-10-10 18:00:00,18.39963,76.57452,OZONE,36.0,77.0,67.0,41.0,0.22
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",2025-10-10 18:00:00,18.1023399,73.4783687,PM2.5,66.0,109.0,95.0,43.0,0.31333333333333335
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",2025-10-10 18:00:00,18.1023399,73.4783687,NH3,3.0,5.0,4.0,2.0,0.01
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",2025-10-10 18:00:00,22.9682591,76.064118,PM2.5,76.0,268.0,131.0,192.0,0.43333333333333335
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",2025-10-10 18:00:00,22.9682591,76.064118,OZONE,23.0,28.0,25.0,5.0,0.08
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",2025-10-10 18:00:00,26.203442,78.193251,PM2.5,30.0,73.0,48.0,43.0,0.15666666666666668
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",2025-10-10 18:00:00,26.203442,78.193251,OZONE,17.0,55.0,36.0,38.0,0.11666666666666667
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-10-10 18:00:00,26.259242,78.216432,PM2.5,87.0,208.0,120.0,121.0,0.39666666666666667
